instance_id,content,liwc.anger
535,"Hey How's it going Hey Hello how una dey hello there Jello good Hello Have you taken your vaccine Hi yes and u Hi Hi Hello everyone lol Hello Yes I have taken are you ready to Wassup No I have not taken Shot and boosted Yes i am wow who ask you bull shit I haven&#x2019;t taken it How is everyone doing What could be the answer? well Who has gotten the vaccine here Good Wunnerful @user 28 ...am good How about you Im doing great Does the vaccine have any side effects on you Good and u I haven't User 18: how are you Me also I have received the vaccine My cousin died after getting vaccinated no am not sure Am good @9 Hey So sorry RIP to your cousin I don't think the vaccine is as bad as some people address it to be oh am so sorry Ohh sorry to hear @20 Have heard also I did not experience any side effect Oh! I'm sorry Anyone gotten the booster yet? Oh I'm sorry about that My own is just a bit of weakness after taking d vaccine I took mine last week and it was one hell of a shot Hi I think the vaccine is now safe at this point Valued, boosted, but my choice Exactly@9 Vaxxed Yes, user 27. Soany bad stories Also  think the same But after receiving the vaccine, I experience some fever and weakness for couple of days I was weak a little but the vaccine is good Yea will take it Exactly@21 Yo Just had sore arm from Vax and booster When I took mine I did not experience any side effects @15 you had yours too? Y'all, of the vaccine is not made compulsory, will you take it? That's good @6 How confident are you guys in the vaccine Should be personal choice yes it is, I got my first dose though Yea I did@21 @9 will take it No mandates!! Yes sure Wow, user 8 User 27, have you gotten the vaccine Yes , it's depends on health fitness of individuals yes Agreed true @27 depends on your employer why not Yap @8yes I'll Yes....I was even advised to eat well self Yes, eat and rest well Really@28 Maybe later oh ok they may enforce Kids are not allowed to use it oh ok that&#x2019;s cool Yes @19, they may enforce the vaccine I agree with @ user 19 Ok...now what? It will later be enforced I didn't have much effect Agreed with that@21 Something It will be enforced but it's at free will for now It may be maybe No mandates For now Yea No mandates U are right @ user 27 Yes Yes, sure Definitely@18 User 27, lol Lol Yes 3500 Yes am doing good 1000 Lol Hey, user 5 Am ok ...what about you 500 600",0.41
,,
536,"Hey there Hey Hi all Anyone got the vaccine here Hola folks Howdy? How's everyone No i havent Nah You all should do tho Have you all answered guys? I know Friends who have got it@user 30 Hello everyone Hi Who is here Anyone know the answer? Me You all should I am Which answer I only got weak but I'm glad i had the vaccine Will you keep getting a booster if new variant is found Hi Pl What's the answer? 6700 @User 20 Or more I never see What do u think the answer is I guessed 3500 Its less than 100 guys 6000 I'm quite confident Nope, wrong It can't be less than 100 Cause its less than 10 cases per a million people How sure are u it's less than 100? Hola amigo Check the Internet 1649 Hello I try checking but i can't find it Hello and welcome It would at least give a day fever Pls can anyone give us a correct answer Whats the answer pls 8000 is average answer I was only weak for a while Hahaa cause most people have imputed high values hi Lol hello I chose 9500 Hello Hi Yeah 4800 Hi 600 Anyone knows the correct answer? For reals Hi What did you use Hello",0
,,
537,"hello Hello guys Hi Hello hello Hey how are you Hey Hello Evening Who is vaccinated here Hey there have you taken the vaccine I am I am I have I have not I have not do you consider taking it May be i will What did you pick Yes, once I am free I will surely take it Yes I will consider it Hello Hello I will consider taking it after a week i think its good for our health I'm sure a lot as being vaccinated Yah Hello Yes Not at all confident Yes it is good What's the answer I'm not vaccinated I wonder if i am right Oh ok @user4 why are you not vaccinated I've heard bad reviews about it from other people that got vaccinated. Who knows I also heard that Some side effects right Yeah it's not good At all A lot of talks going on about side effects At all",0
,,
539,"Whatsup What's up hi guys Hi Good I'm here with you guys Hi Kul Good Hello I'm Richard by name Hi everyone. I've been vaccinated. No side effect so far, who experienced any? Hello guys Hello friends Okay @30 No side effect on me as well Hi Nice 30 Hi Cool Hi Hi Hi guys Hiii Hi How's vaccination at your side, hope it wasn't  stressful? Hello Not too bad Me too @21 that's serious Really Which side are you at the US @21 dotun Hi Wow Omo Am having stomach pain after taking the two doses Ops.. hope it's not because of the stuffs? @21 I don't even know at all @9, which side are you? Sorry guys United States Yh The vaccine is having negative effect with my body type Why do you think ao Really? The vaccine seems ok",0
,,
540,"Hello guys hey Hey Hello Hello guys Hey Who is already vaccinated here Who has been vaccinated I am already vaccinated Hello I Hey I took moderna I am already That's great First and second dose How are you guys today Am vaccinated User 11, I'm good Hi @21 why hello User 21, your friend got 2 miscarriages because of vaccination? That's sad user 21, did you go for a check up how do you fill out guys User 21-Sorry for your friend, miscarriage It's a complicated case You don't need to be scared, the vaccination is safe and effective It is just like all other vaccination we get How are you all doing I am confident about it hello How are you all feeling The vaccine is necessary Yes it is and I plan on getting it soon The Government made it necessary Guys get vaccination User 25 what makes you so sure? not yet vaccinated, how can you encourage me",0
,,
544,"Hi How's it going guy's? Good evening Hi How u doing here I love you all Going fine How do u all do How was ur day guys Health is wealth Yes Let's all try to get vaccinated soon Hi I've gotten mine Two doses Nice one I too have gotten Nope don&#x2019;t do it Hi Ol And it didn't react strangely Hello its not safe Leta all remainder to be safety conscious It's safe I think it&#x2019;s safe It's very safe, i suggest Hello Great You are all wonderful Hello You are all great You to Very happy to be here Love you all Same The vaccine is safe I got mine also And I got no allergies Who got allergies, share you experience Hey It&#x2019;s not safe I love you all I think its because of the side effects for them which they might not be able to manage Hi But it's not just advisable for some set of people Hello Hi No allergies I personally did not react Great It depends on body system at times Does it have a long term effects Sorry for that user 21 Guys Computer Yh Cnat get enough of your chats folks Treatment Guys weldone All is well How are you guys doing I live you all Staying n chatting here makes me happy Lol President Google is a better search engine to get you informed How things dey go Happy happy happy Please I will like to advice all of us to get vaccinated soon Because health is wealth Guys It's good to be here with u guys It's nice, cool n nice experience for me to be here with u guys Am I the only one here",0
,,
545,"Hello Hello y'all Hey Hello Hola folks How's it going? Welcome, user 1 Hi Fine @1 Hi Urrrgh, thinking about it user 21 I'm good You? No User 21, a friend of mine got vaccinated yesterday Hello Hi How are you Wow, how is that friend now? It take that long to answer them questions ? User 25, he feels good after the vaccine Hello hello User 7, lol Do you guys actually get $50? Hi Hello, 27. Welcome I don't think so Hello Hello, 24 User 7, kinda funny User 2q,sorry about that Hi They lied How do one get miscarriages from vaccine though? I'm confused User 21,sorry about that What's the correlation between vaccine and pregnancy. Lol Seriously folks? Did y&#x2019;all put 8000? The vaccines are body Maybe you should enlighten us about that Umm I think you shouldn't get the Vaccine when pregnant Waat Really Something else might have caused the miscarriage. The vaccine might just be a coincidence Ok User 25, should have been something else indeed The vaccines are good User 21, that's bad from the doctor, there should be a reason for miscarriage though You're right A doctor should know better. I think the vaccine is safe Yeah did you'll put 8000? Yes I think the vaccine is safe too Boggie my girlfriend got miscarriage Yes I think the vaccine is safe too Wow, sorry bro Are you serious @25? its very safe User 24, are you sure about this? Life as it is is in many phases. Covid is a phase that shall pass. Yes, safe! User 1, exactly... It will surely pass As I always say, it will be well. Yes, I'm sure But the vaccine is safe enough though Hmmm @ user 21 &#x201C;Other players&#x201D; please hurry up&#x1F926;&#x1F3FE;&#x200D;&#x2640;&#xFE0F; We will get over it soon Alright Nothing last forever Lol Sure nothing last forever That's true Ok Hurry up oooo Hi",0.3
,,
546,"Hi everyone Yes i am vaccinated how are you Fubu Hello everyone Hi guy's I am already vaccinated too Hello! No No vaccination for me!! They are NOT giving me a man Hey Hey I&#x2019;m vaxed, but waited until after my pregnancy. You no fit wise I think the vaccination is a good approach to make us immune Any side effects Made vaccine when natural is always best Smalling No side effect Rat? No side effects for now Smalling loves the vaccine a lot Okay No I don't know It's 455 It just like any normal vaccines 108",0
,,
548,"Hey everyone Hello Yes i have Hello everyone here Hi everyone No I would get it soon Hello am cool Particularly as a medical student I see the importance of taking the vaccine Am good you Am fine It's a nice study If you are not taking it for  yourself, take it for your loved ones I would get it as soon as possible User 18 it could be a coincidence User 18, I'm taking it to reduce the spread cause I live with my family and they are all vaccinated I dont think it has side effect Hmm Boggie my wife got miscarriage User 18, yeah it may be a coincidence you never can tell I know of people that have gotten it and doesn't have side effect Have gotten yourself vaccinated? Hello friends The side effect happens only in peculiar cases and it can be managed quite easily Miscarriage? Have  never heard of such case Except in acute cases Hello everyone Sorry about that I have not known any one that had a bad reaction. Hello Hello All i know is some people feel weak after getting the vaccine Yes that's true Yeah, my sister felt pain in her arm after getting the vaccine I didn't react to the vaccine The vaccine is good for kids They are being careful I don't think people will be willing to get the vaccine if they know of any side effect Okay Who knows the answer I can't really say All of my siblings have gotten the vaccine That's great Is the vaccine for kids Kids can also get the vaccine Hi No Some of my friends kids have gotten it Kids can get the vaccine too I have registered my kids to get it Sorry about that Just that its not up to the fixed date Its good to take one Sorry about that When is the vaccination ending But you should ask to medical practitioners to know if you kid can also get it Ok",0
,,
550,"Hey everyone hello Hi there Hi everyone Hello Yes Hello Who has taken a vaccine Have you been vaccinated @user 22 I have I'm yet to be vaccinated My friend had a miscarriage Some might have taken the vaccines Hi everyone @user 6 how did you feel after getting it? Yes...lots of people are taking it Hi guys Hi guys It's owk to get the vaccine I felt kind of weak ...I had to call my mum to come drive me home Hw re u all doing Some still feel scared but to me its of no negative effect I tried it and didn't get any side effects Yes it's okay to have the vaccine tho I don&#x2019;t really think it has side effects on people I feel we should all get vaccinated though Not really,  the vaccine is safe The vaccine isn't painful at all It does have side effects, but It reacts differently My thoughts too. We should debunks all the bad news about COVID- 19 vaccine is reliable and effective Yes @user 28, yes it is The vaccine keeps you from getting infected There are various side effects to the vaccine according to the body system We should i endeavour to get vaccinated It gets a step safer from the various @user23 what are the ""bad news""? Its of no negative effect We all should get vaccinated, it is safe Yes, we all need to get vaccinated, who knows what might happen in the future User 4 can you mention 1 or 2 side effects please I don't think I have heard about anything negative about the vaccine Vaccine are really good for to fight against covid Wow... You know news of the vaccine having some side effects on people. I don't believe covid vaccine pose  any threat has I've taken it personally Oh lord That's cool The Lord should just save us User 23 you know body systems are not the same, so you might not have any reaction and someone else might have it The vaccine is is the harmless version of an infectious microbe.....so its of no negative effect.... Except few occasions @user23 I feel you man. I will try get vaccinated in the coming days Amen @user30 I'd have gotten it earlier but my schedules were really tight Getting up to the second dose of the vaccine it better User 9 please endevour to take it..... Okay@ user 4 Will definitely do that Are we good OK",0.48
,,
563,"Hi Hello everyone Hi not yet Have you guys been vaccinated for Covid ? Hi Hello Not yet But you guys should try and take the vaccine because it&#x2019;s safe Hello I am yet to see anyone with side effects 1665 Yes it is It's good that everyone get vaccinated Anyone who has experienced side effects? Not at all Hi Or has anyone gotten any side effects Hello @user 14 you&#x2019;re right though Not at all I haven't heard of any side effects yet Wassup @10 Alright, it safe rest For now it's safe @12 really!! But is it actually from the vaccine This is really safe though Cases about what Hope everyone here is vaccinated I think its just bad luck if you get reactions, pretty common with different drugs &#x1F639;&#x1F639;@12 Hi 1435 @22 welcome @user12 The figure should be less than a hundred I have a friend named Atog that complained of side effects It was really common @17 yea sure Really? I think the vaccines are safe But I urge everyone to try get it to be on a safer side May atog rest in peace Looking at it there is more of safe cases than side effects",0
,,
564,Hello everyone Hi hi Hello Hope everyone here is vaccinated Yes Or trying to get vaccinated Not everyone What answer did you put Hi Hello Hello Those left out should try too sure What do you think the answer is We will @12 have you anyone that has side effects 200 Because am actually yet to see anyone with side effects The vaccine is very effective indeed Hlo Hlo The vaccine is just preventive @21 really but I think is supposed to be safe for nursing mothers and also pregnant women But I still think the advantage is more than the disadvantage Yes the vaccine is the better option of curving the risks of contracting the virus sure The advantages.of using the vaccines outweighs its disadvantage I still encourage anyone who is yet too to try and get Yea I the vaccine centers they also educate individual before giving them the vaccine,0
